x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date
0.155701,0.067230,-1.119812,1.132582,252073.979934,2001-01-03 20:01:13.980 -0200
0.122513,0.038147,-0.995987,1.004218,252073.950497,2001-01-03 20:01:13.950 -0200
0.106247,-0.014359,-0.891891,0.898312,252073.921058,2001-01-03 20:01:13.921 -0200
0.153305,-0.028091,-0.843475,0.857754,252073.891623,2001-01-03 20:01:13.892 -0200
0.171967,0.038193,-0.942200,0.958526,252073.862189,2001-01-03 20:01:13.862 -0200
0.251572,0.097580,-1.182739,1.213129,252073.832752,2001-01-03 20:01:13.833 -0200
0.236771,0.073853,-1.339966,1.362726,252073.803318,2001-01-03 20:01:13.803 -0200
0.101913,-0.032333,-1.217926,1.222610,252073.773883,2001-01-03 20:01:13.774 -0200
0.131165,-0.222519,-1.002396,1.035140,252073.744445,2001-01-03 20:01:13.744 -0200
0.131241,-0.174500,-0.980377,1.004397,252073.715006,2001-01-03 20:01:13.715 -0200
0.166046,-0.112778,-1.009308,1.029074,252073.685570,2001-01-03 20:01:13.686 -0200
0.190674,-0.117126,-0.997711,1.022498,252073.656135,2001-01-03 20:01:13.656 -0200
0.136337,-0.132294,-0.910980,0.930577,252073.626700,2001-01-03 20:01:13.627 -0200
0.120392,-0.108246,-0.875229,0.890077,252073.597263,2001-01-03 20:01:13.597 -0200
0.107788,-0.098099,-0.947754,0.958895,252073.567828,2001-01-03 20:01:13.568 -0200
0.048096,-0.124054,-0.958603,0.967792,252073.538392,2001-01-03 20:01:13.538 -0200
0.002487,-0.170395,-0.852722,0.869584,252073.508947,2001-01-03 20:01:13.509 -0200
-0.028519,-0.147202,-0.826431,0.839923,252073.479514,2001-01-03 20:01:13.480 -0200
0.007111,-0.110504,-0.929581,0.936153,252073.450076,2001-01-03 20:01:13.450 -0200
0.008301,-0.072281,-1.046906,1.049431,252073.420640,2001-01-03 20:01:13.421 -0200
-0.105453,-0.037155,-1.056168,1.062069,252073.391204,2001-01-03 20:01:13.391 -0200
-0.122650,-0.048340,-1.007446,1.016035,252073.361767,2001-01-03 20:01:13.362 -0200
-0.025269,-0.072250,-1.017258,1.020133,252073.332333,2001-01-03 20:01:13.332 -0200
0.062149,-0.034821,-1.082870,1.085211,252073.302899,2001-01-03 20:01:13.303 -0200
0.161621,0.037659,-1.172729,1.184413,252073.273466,2001-01-03 20:01:13.273 -0200
0.248795,0.059387,-1.242188,1.268249,252073.244030,2001-01-03 20:01:13.244 -0200
0.164139,0.039261,-1.233856,1.245345,252073.214595,2001-01-03 20:01:13.215 -0200
0.103546,-0.058838,-1.141022,1.147220,252073.185158,2001-01-03 20:01:13.185 -0200
0.097946,-0.075455,-1.094742,1.101702,252073.155719,2001-01-03 20:01:13.156 -0200
0.141220,-0.058517,-1.043442,1.054580,252073.126285,2001-01-03 20:01:13.126 -0200
0.119568,-0.069153,-0.976913,0.986630,252073.096851,2001-01-03 20:01:13.097 -0200
0.110229,-0.089355,-0.881622,0.892969,252073.067414,2001-01-03 20:01:13.067 -0200
0.110748,-0.079102,-0.884781,0.895187,252073.037977,2001-01-03 20:01:13.038 -0200
0.165527,-0.093704,-0.913925,0.933509,252073.008544,2001-01-03 20:01:13.009 -0200
0.195297,-0.114029,-0.892426,0.920634,252072.979109,2001-01-03 20:01:12.979 -0200
0.170990,-0.110275,-0.843979,0.868158,252072.949673,2001-01-03 20:01:12.950 -0200
0.211761,-0.094757,-0.828949,0.860801,252072.920238,2001-01-03 20:01:12.920 -0200
0.244766,-0.080750,-0.888870,0.925484,252072.890802,2001-01-03 20:01:12.891 -0200
0.229630,-0.098495,-0.914505,0.948025,252072.861368,2001-01-03 20:01:12.861 -0200
0.204422,-0.059692,-0.869522,0.895221,252072.831933,2001-01-03 20:01:12.832 -0200
0.253891,-0.020584,-0.906387,0.941500,252072.802474,2001-01-03 20:01:12.802 -0200
0.284637,0.008484,-1.065262,1.102666,252072.773062,2001-01-03 20:01:12.773 -0200
0.223312,-0.007446,-1.101517,1.123950,252072.743624,2001-01-03 20:01:12.744 -0200
0.152832,-0.054474,-0.979431,0.992779,252072.714186,2001-01-03 20:01:12.714 -0200
0.104202,-0.117645,-0.866272,0.880412,252072.684750,2001-01-03 20:01:12.685 -0200
0.137970,-0.109070,-0.857193,0.875050,252072.655314,2001-01-03 20:01:12.655 -0200
0.168869,-0.041321,-0.925354,0.941544,252072.625872,2001-01-03 20:01:12.626 -0200
0.221252,0.032928,-1.118927,1.141067,252072.596440,2001-01-03 20:01:12.596 -0200
0.266922,-0.014450,-1.322906,1.349644,252072.567000,2001-01-03 20:01:12.567 -0200
0.158401,-0.070969,-1.315201,1.326605,252072.537565,2001-01-03 20:01:12.538 -0200
0.084229,-0.155304,-1.150558,1.164044,252072.508130,2001-01-03 20:01:12.508 -0200
0.167816,-0.255722,-1.070389,1.113233,252072.478692,2001-01-03 20:01:12.479 -0200
0.175308,-0.212540,-1.057602,1.092899,252072.449253,2001-01-03 20:01:12.449 -0200
0.160599,-0.166351,-0.959183,0.986659,252072.419816,2001-01-03 20:01:12.420 -0200
0.164200,-0.144104,-0.878693,0.905444,252072.390374,2001-01-03 20:01:12.390 -0200
0.194183,-0.181870,-0.872803,0.912452,252072.360938,2001-01-03 20:01:12.361 -0200
0.127777,-0.163376,-0.876526,0.900731,252072.331500,2001-01-03 20:01:12.332 -0200
0.104019,-0.124588,-0.837997,0.853570,252072.302061,2001-01-03 20:01:12.302 -0200
0.088272,-0.122925,-0.828293,0.842004,252072.272601,2001-01-03 20:01:12.273 -0200
0.053162,-0.153473,-0.823318,0.839186,252072.243186,2001-01-03 20:01:12.243 -0200
0.000580,-0.161499,-0.856476,0.871569,252072.213745,2001-01-03 20:01:12.214 -0200
-0.007950,-0.155121,-0.881516,0.895095,252072.184305,2001-01-03 20:01:12.184 -0200
0.011108,-0.136383,-0.966461,0.976100,252072.154865,2001-01-03 20:01:12.155 -0200
-0.000305,-0.133331,-1.055420,1.063809,252072.125427,2001-01-03 20:01:12.125 -0200
-0.110138,-0.100311,-1.106750,1.116732,252072.095986,2001-01-03 20:01:12.096 -0200
-0.088120,-0.111893,-1.089661,1.098929,252072.066546,2001-01-03 20:01:12.067 -0200
-0.032089,-0.125031,-1.047287,1.055212,252072.037107,2001-01-03 20:01:12.037 -0200
0.033249,-0.131546,-1.103714,1.112023,252072.007667,2001-01-03 20:01:12.008 -0200
0.194916,-0.049744,-1.245117,1.261263,252071.978225,2001-01-03 20:01:11.978 -0200
0.224045,0.010101,-1.341492,1.360110,252071.948784,2001-01-03 20:01:11.949 -0200
0.114029,-0.048203,-1.216293,1.222577,252071.919343,2001-01-03 20:01:11.919 -0200
0.068008,-0.081940,-1.046829,1.052231,252071.889906,2001-01-03 20:01:11.890 -0200
0.098862,-0.065292,-0.989716,0.996782,252071.860463,2001-01-03 20:01:11.860 -0200
0.122101,-0.070358,-0.973999,0.984141,252071.831022,2001-01-03 20:01:11.831 -0200
0.086182,-0.049088,-0.909088,0.914482,252071.801581,2001-01-03 20:01:11.802 -0200
0.064224,-0.042648,-0.859314,0.862765,252071.772141,2001-01-03 20:01:11.772 -0200
0.089508,-0.078613,-0.924362,0.932007,252071.742703,2001-01-03 20:01:11.743 -0200
0.144852,-0.082153,-0.965668,0.979921,252071.713265,2001-01-03 20:01:11.713 -0200
0.161957,-0.071320,-0.965546,0.981629,252071.683824,2001-01-03 20:01:11.684 -0200
0.153900,-0.110336,-0.934509,0.953502,252071.654385,2001-01-03 20:01:11.654 -0200
0.168610,-0.155853,-0.893723,0.922746,252071.624943,2001-01-03 20:01:11.625 -0200
0.188278,-0.149490,-0.855560,0.888695,252071.595504,2001-01-03 20:01:11.596 -0200
0.206268,-0.160583,-0.790970,0.833047,252071.566064,2001-01-03 20:01:11.566 -0200
0.189178,-0.125534,-0.785095,0.817265,252071.536624,2001-01-03 20:01:11.537 -0200
0.201050,-0.093674,-0.891678,0.918850,252071.507183,2001-01-03 20:01:11.507 -0200
0.183914,-0.098022,-1.032516,1.053339,252071.477742,2001-01-03 20:01:11.478 -0200
0.110367,-0.053726,-1.061142,1.068218,252071.448303,2001-01-03 20:01:11.448 -0200
0.108002,-0.045486,-0.949814,0.957016,252071.418861,2001-01-03 20:01:11.419 -0200
0.141464,-0.089584,-0.918365,0.933506,252071.389420,2001-01-03 20:01:11.389 -0200
0.194946,-0.068466,-1.039993,1.060320,252071.359981,2001-01-03 20:01:11.360 -0200
0.262650,-0.043732,-1.224152,1.252775,252071.330543,2001-01-03 20:01:11.331 -0200
0.174530,-0.021896,-1.331223,1.342793,252071.301106,2001-01-03 20:01:11.301 -0200
0.091873,-0.108612,-1.189087,1.197566,252071.271668,2001-01-03 20:01:11.272 -0200
0.163803,-0.310532,-1.035583,1.093478,252071.242232,2001-01-03 20:01:11.242 -0200
0.166138,-0.272858,-1.093964,1.139653,252071.212794,2001-01-03 20:01:11.213 -0200
0.168701,-0.187332,-1.132812,1.160525,252071.183353,2001-01-03 20:01:11.183 -0200
0.218307,-0.185181,-1.065567,1.103351,252071.153915,2001-01-03 20:01:11.154 -0200
0.184555,-0.201080,-0.954117,0.992387,252071.124477,2001-01-03 20:01:11.124 -0200
0.140442,-0.169876,-0.891785,0.918619,252071.095043,2001-01-03 20:01:11.095 -0200
0.152023,-0.100006,-0.909866,0.927884,252071.065606,2001-01-03 20:01:11.066 -0200
0.147034,-0.116043,-0.933762,0.952363,252071.036172,2001-01-03 20:01:11.036 -0200
0.035355,-0.148666,-0.895264,0.908212,252071.006730,2001-01-03 20:01:11.007 -0200
-0.036728,-0.124573,-0.817825,0.828073,252070.977297,2001-01-03 20:01:10.977 -0200
-0.044586,-0.093323,-0.802124,0.808764,252070.947859,2001-01-03 20:01:10.948 -0200
-0.023163,-0.089127,-0.898849,0.903554,252070.918419,2001-01-03 20:01:10.918 -0200
-0.088638,-0.081543,-0.977310,0.984704,252070.888982,2001-01-03 20:01:10.889 -0200
-0.153519,-0.058212,-1.019547,1.032682,252070.859542,2001-01-03 20:01:10.860 -0200
