time,x,y,z
0.989,-0.046,0.072,1.056
0.994,-0.056,0.097,1.055
1.001,-0.072,0.123,1.060
1.004,-0.079,0.134,1.073
1.009,-0.091,0.149,1.086
1.010,-0.083,0.166,1.095
1.020,-0.071,0.180,1.089
1.020,-0.047,0.182,1.075
1.021,-0.044,0.176,1.044
1.026,-0.031,0.169,1.021
1.030,-0.025,0.161,0.998
1.034,-0.004,0.155,0.973
1.038,0.024,0.152,0.950
1.043,0.047,0.143,0.930
1.046,0.072,0.141,0.914
1.051,0.094,0.139,0.891
1.054,0.113,0.130,0.872
1.057,0.136,0.121,0.864
1.061,0.145,0.109,0.861
1.066,0.155,0.095,0.866
1.069,0.168,0.085,0.880
1.073,0.172,0.071,0.891
1.077,0.181,0.060,0.919
1.082,0.190,0.048,0.944
1.085,0.197,0.033,0.961
1.089,0.210,0.021,0.976
1.093,0.224,0.007,0.987
1.101,0.224,-0.007,0.998
1.101,0.227,-0.016,1.006
1.106,0.233,-0.018,1.010
1.109,0.237,-0.019,1.017
1.113,0.248,-0.020,1.015
1.117,0.257,-0.012,1.016
1.121,0.263,-0.015,1.017
1.124,0.261,-0.017,1.019
1.129,0.259,-0.017,1.015
1.132,0.251,-0.010,1.014
1.136,0.239,-0.005,1.008
1.140,0.226,0.006,0.999
1.144,0.215,0.017,0.994
1.149,0.207,0.030,0.991
1.153,0.200,0.044,0.989
1.157,0.189,0.056,0.982
1.160,0.174,0.070,0.982
1.165,0.158,0.081,0.981
1.168,0.146,0.092,0.990
1.172,0.130,0.098,0.997
1.176,0.125,0.099,1.009
1.180,0.117,0.102,1.022
1.184,0.117,0.104,1.038
1.192,0.118,0.104,1.041
1.192,0.126,0.101,1.047
1.196,0.122,0.100,1.038
1.201,0.124,0.097,1.027
1.204,0.128,0.096,1.013
1.209,0.128,0.097,0.993
1.212,0.126,0.099,0.983
1.230,0.124,0.099,0.981
1.230,0.128,0.105,0.982
1.230,0.127,0.106,0.989
1.231,0.132,0.102,0.990
1.232,0.125,0.105,0.998
1.236,0.122,0.104,0.998
1.240,0.121,0.108,1.001
1.244,0.118,0.104,0.999
1.249,0.111,0.100,0.995
1.252,0.107,0.106,0.998
1.256,0.098,0.107,0.991
1.260,0.087,0.107,0.991
1.263,0.078,0.120,0.987
1.268,0.075,0.130,0.989
1.272,0.072,0.136,0.979
1.276,0.061,0.144,0.976
1.279,0.053,0.148,0.973
1.284,0.048,0.152,0.972
1.287,0.047,0.150,0.967
1.291,0.039,0.150,0.956
1.295,0.033,0.149,0.948
