time,x,y,z
0.992,-0.017,0.052,1.005
0.995,-0.014,0.050,1.008
0.999,-0.012,0.047,1.010
1.005,-0.014,0.051,1.018
1.008,-0.016,0.053,1.016
1.012,-0.019,0.052,1.013
1.016,-0.020,0.050,1.016
1.027,-0.027,0.052,1.012
1.028,-0.031,0.049,1.012
1.029,-0.028,0.055,1.011
1.032,-0.027,0.050,1.009
1.062,-0.023,0.051,1.009
1.063,-0.020,0.051,1.005
1.063,-0.028,0.050,1.000
1.063,-0.027,0.051,0.997
1.064,-0.028,0.049,1.002
1.064,-0.030,0.045,0.998
1.064,-0.027,0.047,1.003
1.065,-0.029,0.046,1.001
1.073,-0.030,0.043,1.007
1.073,-0.033,0.045,1.001
1.074,-0.030,0.041,1.004
1.079,-0.026,0.044,1.003
1.083,-0.026,0.046,1.002
1.087,-0.029,0.041,1.002
1.090,-0.025,0.038,1.009
1.095,-0.028,0.036,1.006
1.099,-0.027,0.039,1.008
1.105,-0.029,0.042,1.005
1.107,-0.031,0.040,1.004
1.110,-0.033,0.041,1.002
1.114,-0.039,0.038,0.998
1.120,-0.032,0.037,0.995
1.122,-0.036,0.040,0.993
1.126,-0.036,0.039,0.986
1.130,-0.036,0.043,0.990
1.144,-0.032,0.044,0.988
1.145,-0.032,0.043,0.985
1.145,-0.026,0.044,0.978
1.145,-0.028,0.043,0.979
1.149,-0.024,0.045,0.977
1.181,-0.023,0.053,0.971
1.182,-0.026,0.051,0.969
1.182,-0.028,0.055,0.966
1.183,-0.022,0.057,0.963
1.183,-0.018,0.051,0.960
1.184,-0.020,0.052,0.961
1.184,-0.013,0.052,0.960
1.184,-0.010,0.052,0.964
1.187,-0.007,0.050,0.968
1.205,-0.009,0.053,0.971
1.205,-0.008,0.054,0.978
1.205,-0.007,0.052,0.987
1.206,-0.009,0.052,0.988
1.206,-0.009,0.052,0.990
1.209,-0.004,0.054,0.989
1.213,-0.009,0.053,0.995
1.220,-0.005,0.058,0.995
1.221,-0.004,0.053,0.998
1.225,-0.008,0.053,1.004
1.229,-0.003,0.054,0.998
1.233,0.001,0.059,1.000
1.245,0.004,0.055,1.001
1.246,0.002,0.064,1.001
1.246,0.006,0.063,0.996
1.249,0.009,0.065,0.995
1.284,0.006,0.065,0.987
1.285,0.009,0.063,0.990
1.286,0.009,0.066,0.985
1.286,0.010,0.069,0.981
1.287,0.008,0.067,0.977
1.287,0.013,0.069,0.980
1.287,0.015,0.067,0.980
1.288,0.011,0.068,0.981
1.288,0.009,0.069,0.982
1.288,0.009,0.066,0.988
